City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Morant Bay,JM,80.22,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
5,Rikitea,PF,77.97,overcast clouds,-23.1203,-134.9692,People ThankYou
19,Kapaa,US,78.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
24,Hilo,US,77.25,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
25,Inhambane,MZ,76.17,clear sky,-23.865,35.3833,Oceano
28,Sinnamary,GF,76.68,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
31,Butaritari,KI,82.17,clear sky,3.0707,172.7902,Isles Sunset Lodge
39,San Andres,CO,80.62,few clouds,12.5847,-81.7006,Hotel Arena Blanca
40,Busselton,AU,88.05,broken clouds,-33.65,115.3333,Observatory Guest House
41,Ahuimanu,US,82.11,few clouds,21.4447,-157.8378,Paradise Bay Resort
44,Hobyo,SO,75.15,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
50,Hithadhoo,MV,81.59,overcast clouds,-0.6,73.0833,Scoop Guest House
51,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
57,Souillac,MU,80.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
62,The Valley,AI,77.83,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
64,Kilindoni,TZ,80.47,overcast clouds,-7.9139,39.6668,Bustani B&B
68,Kavieng,PG,82.44,light rain,-2.5744,150.7967,Nusa Island Retreat
70,Acapulco,MX,78.62,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
77,Port-Gentil,GA,79.68,light rain,-0.7193,8.7815,Fengshui Residence
78,Gambela,ET,79.86,broken clouds,8.25,34.5833,Solomon Debebe Hotel
80,Sawakin,SD,76.51,overcast clouds,19.1059,37.3321,فندق الدويم
85,Ciudad Bolivar,VE,81.77,few clouds,8.1222,-63.5497,Hotel Edi
86,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
88,Kerema,PG,86.05,overcast clouds,-7.9631,145.7785,Frena Lodge
89,Carnarvon,AU,89.69,clear sky,-24.8667,113.6333,Hospitality Carnarvon
97,Manakara,MG,75.34,moderate rain,-22.1333,48.0167,La Residence Manakara
