City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,High Level,CA,58.5169,-117.136,-12.89,77,75,4.61,broken clouds
1,Mataura,NZ,-46.1927,168.8643,49.3,99,100,3.11,light rain
2,Pevek,RU,69.7008,170.3133,-17.66,98,25,2.35,scattered clouds
3,Tazovskiy,RU,67.4667,78.7,1.62,97,99,7.05,overcast clouds
4,Morant Bay,JM,17.8815,-76.4093,80.22,83,7,10.65,clear sky
5,Rikitea,PF,-23.1203,-134.9692,77.97,74,100,18.88,overcast clouds
6,Ribeira Grande,PT,38.5167,-28.7,58.68,74,100,17.74,overcast clouds
7,Goure,NE,13.9835,10.2704,59.02,19,0,12.33,clear sky
8,Ushuaia,AR,-54.8,-68.3,44.26,65,75,20.71,broken clouds
9,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,76,75,11.5,light snow
10,Torbay,CA,47.6666,-52.7314,38.57,83,100,24.16,overcast clouds
11,Hobart,AU,-42.8794,147.3294,69.26,49,75,1.99,broken clouds
12,Hermanus,ZA,-34.4187,19.2345,60.91,72,100,9.17,overcast clouds
13,Chapais,CA,49.7834,-74.8492,-24.02,99,59,2.44,broken clouds
14,Punta Arenas,CL,-53.15,-70.9167,46.51,57,75,10.36,broken clouds
15,Mount Gambier,AU,-37.8333,140.7667,68.4,47,13,9.06,few clouds
16,Namibe,AO,-15.1961,12.1522,71.51,77,2,7.09,clear sky
17,Clyde River,CA,70.4692,-68.5914,-7.37,77,100,39.12,heavy snow
18,Lobito,AO,-12.3481,13.5456,74.57,73,97,2.06,overcast clouds
19,Kapaa,US,22.0752,-159.319,78.12,65,0,1.01,clear sky
20,Longyearbyen,SJ,78.2186,15.6401,13.84,73,75,10.36,broken clouds
21,Jamestown,US,42.097,-79.2353,24.08,69,100,5.99,snow
22,Cape Town,ZA,-33.9258,18.4232,62.35,63,20,3.0,few clouds
23,Ixtapa,MX,20.7,-105.2,74.43,64,75,8.05,broken clouds
24,Hilo,US,19.7297,-155.09,77.25,76,75,10.36,broken clouds
25,Inhambane,MZ,-23.865,35.3833,76.17,86,2,2.48,clear sky
26,Aklavik,CA,68.2191,-135.0107,-21.17,99,11,6.35,few clouds
27,Rawson,AR,-43.3002,-65.1023,68.18,60,100,9.78,overcast clouds
28,Sinnamary,GF,5.3833,-52.95,76.68,89,100,9.98,overcast clouds
29,General Roca,AR,-39.0333,-67.5833,72.0,44,100,26.71,light rain
30,Balad,IQ,34.0164,44.1453,55.67,33,100,11.9,overcast clouds
31,Butaritari,KI,3.0707,172.7902,82.17,75,10,14.29,clear sky
32,Barcelona,ES,41.3888,2.159,55.33,79,0,1.01,clear sky
33,Naze,JP,28.3667,129.4833,54.52,75,100,18.5,overcast clouds
34,Turbat,PK,26.0023,63.044,58.78,16,0,5.66,clear sky
35,Port Alfred,ZA,-33.5906,26.891,69.71,74,96,16.46,overcast clouds
36,Antofagasta,CL,-23.65,-70.4,71.22,63,6,6.53,clear sky
37,Lagoa,PT,39.05,-27.9833,57.76,73,100,13.22,overcast clouds
38,Half Moon Bay,US,37.4636,-122.4286,61.11,64,0,9.22,mist
39,San Andres,CO,12.5847,-81.7006,80.62,78,20,6.91,few clouds
40,Busselton,AU,-33.65,115.3333,88.05,35,67,15.57,broken clouds
41,Ahuimanu,US,21.4447,-157.8378,82.11,53,20,5.01,few clouds
42,Bluff,NZ,-46.6,168.3333,49.5,83,100,1.5,light rain
43,Shenjiamen,CN,29.9576,122.298,44.62,64,100,13.0,overcast clouds
44,Hobyo,SO,5.3505,48.5268,75.15,75,32,15.28,scattered clouds
